Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
13.021535,80.015736,25,45.288187,235.327473
13.020979,80.014911,27,108.676108,236.487973
13.020939,80.014849,27,8.055967,237.010472
13.020674,80.01443,27,54.118255,235.351654
13.01953,80.012731,26.5,223.74293,236.707762
13.018736,80.01149,30,160.843326,239.830097
13.018288,80.010699,32,99.121717,238.664062
13.018218,80.010581,32,14.96696,240.891282
13.017886,80.009969,33,75.88703,243.085741
13.017474,80.009136,33,101.207313,244.719821
13.017145,80.008421,33,85.66548,246.724679
13.016544,80.006987,34,169.11992,246.570168
13.016487,80.006852,34,15.939883,246.469525
13.015784,80.005195,33.1,195.797211,243.632926
13.015529,80.004667,33.1,63.84451,239.898815
13.015407,80.004451,33,27.048847,238.447352
13.015267,80.004217,33,29.74932,239.695489
13.015144,80.004001,33.2,27.104807,234.667154
13.014387,80.002905,33.2,145.548345,234.293192
13.012527,80.000249,31.5,354.365495,232.174508
13.012117,79.999707,31.8,74.340354,227.553565
13.011896,79.999459,31.7,36.411383,225.762897
13.011637,79.999186,32,41.281916,221.76907
13.011313,79.998889,32.3,48.304389,218.31714
13.010879,79.998537,32.1,61.50794,215.430947
13.008933,79.997116,35,265.563291,214.977758
13.008213,79.996599,36.5,97.709016,212.310845
13.005691,79.994962,38.1,331.810322,213.184758
13.004152,79.993929,39,204.476917,214.235336
13.004089,79.993885,39,8.473441,214.188311
13.0001,79.991104,43.2,536.215517,211.894171
12.999588,79.990777,43.1,67.055446,208.413911
12.999235,79.990581,43,44.627999,206.550321
12.999157,79.990541,44,9.695691,205.117353
12.998521,79.990235,44.4,78.105597,201.854685
12.995647,79.989052,45.4,344.31986,206.497394
12.995131,79.988788,45.2,64.111145,211.491691
12.994692,79.988512,44,57.245977,214.224928
12.994586,79.988438,44,14.255139,215.766467
12.99426,79.988197,40.4,44.674962,220.790366
12.993893,79.987872,40.1,53.900741,223.62781
12.993617,79.987602,40.1,42.398747,228.217942
12.993341,79.987285,39.6,46.06007,232.527286
12.992913,79.986712,39.2,78.225914,233.991355
12.992003,79.985427,36.5,172.11392,233.010433
12.991258,79.984412,36,137.683545,232.479118
12.991151,79.984269,36,19.535083,232.574488
12.988034,79.980089,44,570.304506,234.124172
12.987781,79.97973,44,48.004816,233.869728
12.985733,79.976851,49.6,386.222009,235.521312
12.985377,79.976319,50,69.92644,236.759129
12.984944,79.975641,47,87.834405,241.011111
12.98445,79.974726,46,113.342102,242.978093
12.983958,79.973736,43.7,120.413705,245.740134
12.983709,79.973169,42,67.38646,246.418697
12.983276,79.972151,41,120.352918,246.641049
12.982949,79.971374,41,91.70619,245.000149
12.982426,79.970223,42,137.606428,245.468705
12.981895,79.969029,40.3,142.21001,243.524056
12.981316,79.967836,37,144.410899,247.042763
12.98045,79.965738,38,246.87951,250.2891
12.980332,79.9654,38,38.902978,250.311212
12.979946,79.964293,36.5,127.395602,244.192989
12.979725,79.963824,36.2,56.447744,239.274
12.979469,79.963382,36.9,55.713483,231.868879
12.978854,79.962578,39,110.751119,230.575389
12.978145,79.961693,40.7,124.140619,234.118827
12.977211,79.960368,40.6,177.196041,237.267527
12.976926,79.959913,41,58.608293,236.238447
12.976229,79.958843,39,139.458949,234.453479
12.975743,79.958145,37.4,92.954933,229.238315
12.975617,79.957995,37.5,21.458494,222.603308
12.975297,79.957693,37,48.341784,217.717909
12.975108,79.957543,37,26.567607,221.401382
12.975066,79.957505,37,6.226126,214.666191
12.974384,79.957021,36,92.202737,212.262044
12.973978,79.956758,36,53.387288,211.326858
12.973669,79.956565,37,40.223148,211.331339
12.972827,79.956039,37,109.609998,204.69664
12.971723,79.955518,36,135.118024,203.349093
12.970732,79.955079,35.8,120.023174,201.763088
12.969409,79.954537,35,158.400866,200.951982
12.96664,79.953449,37.8,329.697988,203.939537
12.966201,79.953249,37.6,53.409129,210.965533
12.965769,79.952983,37.5,56.020389,221.10352
12.965387,79.952641,37.4,56.370459,224.415131
12.965018,79.95227,38,57.443083,236.934907
12.96469,79.951753,38.1,66.84833,246.713748
12.964461,79.951207,38.4,64.411732,253.611735
12.964322,79.950722,38.3,54.780507,258.916565
12.964108,79.949601,39,123.781024,252.61655
12.964018,79.949306,39,33.496292,252.98348
12.963967,79.949135,39,19.378045,248.494246
12.963166,79.947049,41.1,242.955566,250.244156
12.96297,79.946489,41.7,64.477278,246.973635
12.962789,79.946052,42.2,51.45341,243.423599
12.962672,79.945812,42.4,29.079264,239.124235
12.962524,79.945558,42.4,32.068458,231.366013
12.962369,79.945359,42,27.605344,225.7299
12.962293,79.945279,42,12.106459,222.664203
12.961943,79.944948,43.4,52.925585,214.559758
12.961694,79.944772,43.3,33.620344,206.041327
12.961337,79.944593,43,44.182049,198.580557
12.96105,79.944494,43,33.667824,193.491856
12.960721,79.944413,42.9,37.621363,191.534645
12.958873,79.944026,43,209.723779,190.735557
12.957809,79.943819,45.8,120.419041,194.701616
